iter	Passed	Remaining
0	4	4116
1	7	3969
2	11	3770
3	14	3586
4	15	3161
5	17	2966
6	19	2752
7	20	2588
8	22	2468
9	23	2365
10	25	2277
11	26	2209
12	28	2150
13	29	2101
14	31	2056
15	32	2018
16	34	1990
17	35	1958
18	37	1930
19	38	1908
20	40	1895
21	42	1871
22	43	1854
23	45	1837
24	47	1838
25	50	1875
26	52	1904
27	54	1888
28	55	1874
29	57	1859
30	59	1851
31	60	1837
32	62	1825
33	64	1828
34	65	1817
35	67	1807
36	69	1797
37	70	1786
38	72	1781
39	73	1772
40	75	1766
41	77	1760
42	78	1752
43	80	1745
44	81	1739
45	83	1731
46	85	1724
47	86	1717
48	88	1711
49	89	1707
50	91	1704
51	93	1702
52	95	1700
53	96	1694
54	98	1688
55	99	1683
56	101	1677
57	102	1672
58	104	1667
59	106	1661
60	107	1657
61	109	1653
62	110	1649
63	112	1644
64	114	1640
65	115	1637
66	117	1633
67	118	1628
68	120	1623
69	121	1620
70	123	1615
71	125	1615
72	126	1611
73	128	1608
74	131	1626
75	133	1622
76	134	1617
77	136	1613
78	138	1608
79	139	1605
80	141	1606
81	143	1607
82	145	1603
83	147	1613
84	150	1617
85	151	1612
86	153	1608
87	154	1604
88	157	1614
89	159	1610
90	160	1606
91	162	1604
92	164	1601
93	165	1597
94	167	1594
95	168	1590
96	170	1586
97	172	1583
98	173	1579
99	175	1575
100	176	1572
101	178	1569
102	179	1566
103	181	1563
104	183	1562
105	184	1558
106	186	1557
107	188	1554
108	189	1550
109	191	1547
110	192	1544
111	194	1541
112	195	1537
113	197	1535
114	199	1533
115	202	1540
116	203	1537
117	205	1534
118	206	1531
119	208	1528
120	209	1525
121	211	1522
122	213	1520
123	214	1518
124	216	1518
125	218	1515
126	220	1513
127	221	1509
128	223	1508
129	224	1505
130	226	1503
131	228	1500
132	229	1497
133	231	1495
134	233	1493
135	234	1491
136	236	1488
137	237	1485
138	239	1483
139	241	1480
140	242	1478
141	244	1475
142	245	1472
143	247	1471
144	249	1471
145	251	1470
146	252	1467
147	254	1464
148	256	1462
149	257	1461
150	259	1458
151	261	1456
152	262	1454
153	264	1452
154	265	1449
155	267	1446
156	269	1444
157	270	1441
158	272	1439
159	273	1437
160	275	1434
161	276	1431
162	278	1429
163	279	1426
164	283	1436
165	285	1434
166	287	1432
167	288	1429
168	290	1427
169	291	1424
170	293	1422
171	295	1420
172	296	1418
173	298	1416
174	300	1414
175	301	1412
176	303	1410
177	304	1408
178	307	1408
179	308	1406
180	310	1404
181	312	1402
182	313	1400
183	315	1397
184	316	1395
185	318	1393
186	319	1391
187	322	1391
188	324	1390
189	325	1388
190	327	1386
191	328	1384
192	330	1382
193	332	1379
194	333	1377
195	335	1375
196	336	1373
197	338	1371
198	340	1368
199	341	1366
200	345	1374
201	348	1375
202	349	1372
203	351	1370
204	352	1367
205	354	1366
206	355	1363
207	358	1363
208	359	1360
209	361	1358
210	362	1356
211	364	1353
212	365	1351
213	367	1349
214	368	1347
215	370	1346
216	372	1344
217	374	1341
218	375	1339
219	377	1336
220	378	1333
221	382	1340
222	384	1338
223	385	1336
224	387	1334
225	388	1332
226	390	1329
227	392	1328
228	394	1326
229	395	1324
230	397	1322
231	398	1320
232	400	1318
233	403	1320
234	406	1322
235	411	1330
236	412	1328
237	414	1325
238	415	1323
239	417	1321
240	418	1318
241	420	1316
242	421	1314
243	423	1311
244	424	1309
245	426	1306
246	427	1304
247	429	1302
248	431	1299
249	432	1297
250	434	1295
251	435	1293
252	437	1291
253	439	1291
254	441	1289
255	442	1286
256	444	1284
257	446	1284
258	448	1282
259	449	1279
260	451	1277
261	452	1275
262	454	1273
263	455	1270
264	457	1268
265	458	1266
266	461	1266
267	462	1264
268	465	1265
269	467	1263
270	470	1266
271	472	1264
272	473	1262
273	475	1260
274	477	1259
275	479	1257
276	482	1260
277	484	1258
278	486	1256
279	487	1253
280	489	1251
281	490	1249
282	492	1247
283	494	1245
284	495	1244
285	498	1243
286	499	1241
287	501	1239
288	502	1237
289	504	1235
290	506	1234
291	508	1232
292	510	1230
293	511	1228
294	513	1227
295	515	1225
296	517	1223
297	518	1222
298	520	1220
299	522	1218
300	523	1216
301	525	1214
302	527	1213
303	528	1210
304	531	1210
305	533	1208
306	534	1206
307	536	1204
308	537	1202
309	539	1200
310	542	1200
311	543	1198
312	545	1196
313	547	1196
314	549	1194
315	550	1191
316	552	1189
317	555	1191
318	557	1189
319	558	1187
320	560	1185
321	562	1183
322	563	1181
323	565	1179
324	566	1177
325	569	1177
326	571	1175
327	572	1173
328	574	1171
329	575	1169
330	577	1167
331	579	1165
332	581	1163
333	582	1161
334	585	1162
335	587	1160
336	588	1158
337	590	1156
338	592	1154
339	593	1152
340	596	1152
341	597	1150
342	599	1148
343	601	1147
344	603	1145
345	604	1143
346	606	1141
347	608	1139
348	609	1137
349	611	1135
350	613	1134
351	615	1132
352	617	1130
353	618	1128
354	623	1132
355	624	1130
356	626	1128
357	628	1126
358	630	1125
359	631	1123
360	633	1120
361	634	1119
362	638	1119
363	640	1118
364	641	1116
365	643	1114
366	645	1113
367	647	1112
368	649	1110
369	651	1108
370	652	1106
371	654	1104
372	655	1102
373	657	1100
374	659	1098
375	662	1099
376	665	1100
377	669	1100
378	671	1099
379	673	1098
380	675	1096
381	682	1104
382	685	1103
383	687	1102
384	689	1100
385	690	1098
386	693	1098
387	699	1103
388	702	1103
389	705	1103
390	706	1101
391	713	1106
392	717	1107
393	720	1108
394	722	1106
395	724	1104
396	732	1113
397	736	1113
398	738	1111
399	740	1110
400	746	1114
401	749	1114
402	751	1112
403	753	1110
404	754	1108
405	756	1106
406	760	1108
407	768	1114
408	770	1112
409	771	1110
410	773	1109
411	777	1109
412	780	1109
413	783	1108
414	785	1107
415	787	1105
416	788	1102
417	790	1100
418	794	1101
419	799	1104
420	803	1104
421	804	1102
422	806	1100
423	810	1101
424	813	1101
425	817	1101
426	821	1102
427	831	1111
428	837	1115
429	840	1114
430	844	1115
431	849	1116
432	851	1114
433	852	1112
434	854	1110
435	856	1107
436	859	1107
437	863	1107
438	867	1108
439	869	1106
440	871	1105
441	873	1102
442	875	1101
443	880	1102
444	882	1100
445	883	1097
446	885	1095
447	887	1093
448	897	1100
449	900	1101
450	902	1098
451	904	1097
452	908	1096
453	912	1097
454	915	1096
455	916	1093
456	918	1091
457	920	1089
458	925	1090
459	928	1090
460	930	1087
461	932	1085
462	934	1083
463	936	1082
464	938	1079
465	940	1077
466	942	1075
467	943	1072
468	945	1070
469	947	1068
470	948	1065
471	951	1063
472	953	1062
473	959	1065
474	961	1062
475	963	1060
476	965	1058
477	967	1056
478	968	1053
479	970	1051
480	972	1049
481	974	1046
482	975	1044
483	977	1042
484	979	1039
485	981	1037
486	982	1035
487	984	1033
488	986	1030
489	987	1028
490	989	1025
491	991	1023
492	993	1021
493	994	1019
494	996	1016
495	998	1014
496	1000	1012
497	1001	1009
498	1003	1007
499	1005	1005
500	1006	1002
501	1008	1000
502	1010	998
503	1012	996
504	1014	994
505	1016	992
506	1017	989
507	1019	987
508	1021	985
509	1022	982
510	1024	980
511	1026	978
512	1028	976
513	1030	974
514	1032	972
515	1034	970
516	1035	967
517	1037	965
518	1039	963
519	1041	960
520	1042	958
521	1044	956
522	1046	954
523	1047	951
524	1049	949
525	1051	947
526	1053	945
527	1054	943
528	1056	940
529	1058	938
530	1060	936
531	1061	934
532	1063	931
533	1065	929
534	1066	927
535	1068	925
536	1070	922
537	1072	920
538	1073	918
539	1075	916
540	1077	914
541	1079	911
542	1080	909
543	1082	907
544	1084	905
545	1086	903
546	1088	901
547	1090	899
548	1091	896
549	1093	894
550	1095	892
551	1097	890
552	1100	889
553	1102	887
554	1103	885
555	1105	882
556	1107	880
557	1109	878
558	1110	876
559	1112	874
560	1114	871
561	1115	869
562	1117	867
563	1119	865
564	1120	862
565	1122	860
566	1124	858
567	1125	856
568	1127	854
569	1129	851
570	1130	849
571	1132	847
572	1134	845
573	1135	842
574	1137	840
575	1139	838
576	1140	836
577	1142	834
578	1144	831
579	1145	829
580	1147	827
581	1149	825
582	1150	823
583	1152	820
584	1154	818
585	1156	816
586	1157	814
587	1159	812
588	1161	810
589	1162	807
590	1164	806
591	1166	803
592	1168	801
593	1169	799
594	1171	797
595	1172	795
596	1174	792
597	1176	790
598	1177	788
599	1179	786
600	1181	784
601	1183	782
602	1184	779
603	1186	777
604	1187	775
605	1189	773
606	1191	771
607	1193	769
608	1195	767
609	1196	765
610	1198	763
611	1202	762
612	1207	762
613	1208	759
614	1210	757
615	1212	755
616	1213	753
617	1215	751
618	1217	749
619	1218	746
620	1220	744
621	1221	742
622	1223	740
623	1225	738
624	1226	736
625	1228	734
626	1230	731
627	1231	729
628	1233	727
629	1235	725
630	1236	723
631	1238	721
632	1240	719
633	1242	717
634	1244	715
635	1245	713
636	1247	710
637	1249	708
638	1250	706
639	1252	704
640	1253	702
641	1256	700
642	1257	698
643	1259	696
644	1261	694
645	1262	692
646	1264	689
647	1266	687
648	1267	685
649	1269	683
650	1271	681
651	1273	679
652	1274	677
653	1276	675
654	1278	673
655	1279	671
656	1281	668
657	1282	666
658	1284	664
659	1286	662
660	1287	660
661	1289	658
662	1291	656
663	1292	654
664	1294	652
665	1295	649
666	1297	647
667	1299	645
668	1301	643
669	1302	641
670	1304	639
671	1305	637
672	1307	635
673	1309	633
674	1310	631
675	1312	629
676	1314	626
677	1315	624
678	1317	622
679	1318	620
680	1320	618
681	1322	616
682	1323	614
683	1325	612
684	1326	610
685	1328	607
686	1329	605
687	1331	604
688	1333	602
689	1335	599
690	1336	597
691	1338	595
692	1340	593
693	1342	591
694	1343	589
695	1345	587
696	1346	585
697	1348	583
698	1349	581
699	1351	579
700	1353	577
701	1355	575
702	1356	573
703	1358	571
704	1359	569
705	1361	566
706	1363	565
707	1365	563
708	1366	560
709	1368	558
710	1370	556
711	1371	554
712	1373	552
713	1374	550
714	1376	548
715	1378	546
716	1379	544
717	1381	542
718	1382	540
719	1384	538
720	1386	536
721	1388	534
722	1389	532
723	1391	530
724	1393	528
725	1395	526
726	1397	524
727	1398	522
728	1400	520
729	1401	518
730	1403	516
731	1405	514
732	1406	512
733	1408	510
734	1410	508
735	1411	506
736	1413	504
737	1414	502
738	1416	500
739	1417	498
740	1419	496
741	1420	494
742	1422	492
743	1424	490
744	1426	488
745	1427	486
746	1429	484
747	1430	482
748	1432	479
749	1433	477
750	1435	475
751	1437	473
752	1438	471
753	1440	469
754	1441	467
755	1443	465
756	1444	463
757	1446	461
758	1448	459
759	1449	457
760	1451	455
761	1452	453
762	1455	451
763	1456	449
764	1458	447
765	1459	445
766	1461	443
767	1462	441
768	1464	439
769	1466	437
770	1467	435
771	1469	433
772	1470	431
773	1472	430
774	1474	428
775	1476	426
776	1477	424
777	1479	422
778	1480	420
779	1482	418
780	1484	416
781	1485	414
782	1486	412
783	1488	410
784	1490	408
785	1492	406
786	1494	404
787	1495	402
788	1497	400
789	1498	398
790	1500	396
791	1502	394
792	1503	392
793	1505	390
794	1506	388
795	1508	386
796	1510	384
797	1511	382
798	1513	380
799	1515	378
800	1517	376
801	1518	374
802	1520	372
803	1521	371
804	1523	369
805	1525	367
806	1527	365
807	1528	363
808	1530	361
809	1532	359
810	1533	357
811	1535	355
812	1536	353
813	1538	351
814	1539	349
815	1541	347
816	1543	345
817	1544	343
818	1546	341
819	1548	339
820	1549	337
821	1551	335
822	1553	334
823	1554	332
824	1556	330
825	1557	328
826	1559	326
827	1560	324
828	1562	322
829	1563	320
830	1565	318
831	1567	316
832	1568	314
833	1570	312
834	1571	310
835	1573	308
836	1575	306
837	1578	305
838	1580	303
839	1582	301
840	1583	299
841	1585	297
842	1588	295
843	1590	293
844	1591	292
845	1593	290
846	1595	288
847	1596	286
848	1598	284
849	1600	282
850	1602	280
851	1603	278
852	1605	276
853	1606	274
854	1608	272
855	1610	270
856	1611	268
857	1613	267
858	1615	265
859	1617	263
860	1619	261
861	1620	259
862	1622	257
863	1623	255
864	1625	253
865	1626	251
866	1628	249
867	1630	247
868	1631	245
869	1633	244
870	1634	242
871	1636	240
872	1638	238
873	1639	236
874	1641	234
875	1643	232
876	1645	230
877	1647	228
878	1648	226
879	1651	225
880	1653	223
881	1654	221
