matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
2H,5,4,1,0,0,0,0,0,0,0,0,0,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,23,18,5,1,0,1,1,1,0,1,1,0,6,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,20,15,5,3,0,3,0,0,0,4,4,0,5,2,2,0,0,0,0,0,1,0,0,4,1,3,0,0,0,0,Forward,1
2H,20,17,3,0,0,0,2,1,1,1,0,1,13,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,23,19,4,0,0,0,0,0,0,4,3,1,10,6,3,2,1,0,0,0,7,0,4,0,0,0,0,0,0,0,Defender,1
2H,50,49,1,0,0,0,4,3,1,2,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,9,6,3,0,0,0,1,0,1,3,2,1,8,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
1H,23,19,4,1,0,1,1,1,0,0,0,0,6,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,5,3,2,0,0,0,0,0,0,7,0,7,6,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,Forward,1
1H,26,24,2,0,0,0,2,0,2,1,1,0,5,1,3,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,Defender,1
1H,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Goalkeeper,1
E1,5,5,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,Midfielder,1
E1,8,8,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,7,6,1,0,0,0,1,0,1,2,0,2,7,2,3,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
1H,20,12,8,1,1,0,1,0,1,3,2,1,1,0,0,1,0,0,0,0,4,0,2,1,0,1,0,0,0,0,Defender,1
1H,36,33,3,1,0,1,1,0,1,3,2,1,8,4,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,Defender,1
1H,12,10,2,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,Goalkeeper,1
1H,46,43,3,0,0,0,5,4,1,3,1,2,15,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,17,15,2,2,2,0,2,2,0,0,0,0,5,1,3,4,0,3,2,1,1,0,0,3,1,2,1,0,0,0,Forward,1
1H,24,18,6,3,1,2,2,0,2,0,0,0,6,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,Defender,1
1H,24,22,2,2,0,2,3,3,0,1,1,0,14,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,37,35,2,0,0,0,2,1,1,4,2,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defender,1
1H,22,16,6,2,0,2,1,0,1,2,0,2,9,3,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,Forward,1
1H,14,11,3,0,0,0,0,0,0,5,1,4,8,2,3,0,2,0,0,0,2,0,0,2,2,0,1,0,0,0,Forward,1
1H,27,25,2,1,1,0,1,0,1,0,0,0,10,4,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,Midfielder,1
E1,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,8,8,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,ForwardSubstitute,1
2H,6,6,0,0,0,0,0,0,0,0,0,0,10,3,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,18,15,3,2,0,2,1,1,0,1,0,1,8,1,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Midfielder,1
1H,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,22,19,3,0,0,0,3,1,2,2,1,1,4,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,11,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,1
2H,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DefenderSubstitute,1
2H,13,12,1,0,0,0,0,0,0,0,0,0,4,2,1,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,10,8,2,0,0,0,0,0,0,3,2,1,5,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward,1
2H,60,58,2,0,0,0,6,6,0,4,2,2,9,2,4,2,1,2,0,2,2,0,0,2,1,1,0,0,0,0,Midfielder,1
2H,27,24,3,0,0,0,3,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defender,1
1H,42,37,5,2,1,1,1,0,1,0,0,0,9,4,1,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,12,7,5,3,0,3,1,0,1,1,0,1,11,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,28,27,1,0,0,0,0,0,0,4,3,1,14,4,6,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,35,30,5,0,0,0,1,0,1,2,1,1,6,2,3,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,10,10,0,0,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,Forward,1
2H,30,25,5,2,0,2,0,0,0,2,2,0,4,2,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
2H,12,5,7,3,0,3,2,1,1,1,0,1,5,3,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Midfielder,1
