_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6243,96818,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,335.1803101515316,Goalkeeper
1,6243,96822,37,34,3,0,0,0,4,3,1,2,0,2,3,1,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,3,263.5605857601787,Defender
1,6243,96828,27,15,12,0,0,0,2,1,1,1,0,1,5,1,4,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,35,0,2,201.96762278361518,Midfielder
1,6243,96832,13,9,4,0,0,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,253.53382434538932,Striker
1,6243,97061,46,41,5,0,0,0,2,1,1,2,0,2,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,51,0,3,153.55268909506063,Midfielder
1,6243,174959,37,35,2,1,0,1,6,4,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,4,153.0615824135199,Defender
1,6243,176061,17,13,4,2,0,2,3,1,2,0,0,0,4,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,3,73.66600223110586,Midfielder
1,6243,176661,19,14,5,2,1,1,0,0,0,4,2,2,4,2,2,1,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,36,0,1,146.67719555349075,Midfielder
1,6243,193633,10,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,93.10564170875877,Defender
1,6243,210888,26,21,5,2,0,2,2,0,2,0,0,0,9,6,3,0,2,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,54,0,5,272.4732625733249,Defender
