_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6324,164778,5,2,3,0,0,0,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Goalkeeper
1,6324,164781,20,12,8,0,0,0,2,0,2,1,1,0,3,1,2,1,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,211.99438419840465,Defender
1,6324,164785,17,10,7,2,0,2,3,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,112.95453675436228,Defender
1,6324,164787,12,10,2,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18,0,0,226.31832907667518,Midfielder
1,6324,164791,26,21,5,0,0,0,1,0,1,2,1,1,5,4,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,0,223.45354010102105,Midfielder
1,6324,164792,9,6,3,2,0,2,1,0,1,2,0,2,9,5,4,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,4,2,0,0,0,24,0,0,332.31552117587745,Striker
1,6324,164793,14,12,2,1,0,1,0,0,0,2,1,1,5,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,3,0,0,0,24,0,0,166.15776058793872,Striker
1,6324,164795,12,10,2,0,0,0,0,0,0,1,1,0,4,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,200.53522829578813,Midfielder
1,6324,176643,27,24,3,0,0,0,3,2,1,0,0,0,4,1,3,0,2,0,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,114.59155902616465,Defender
1,6324,182972,16,11,5,0,0,0,3,1,2,1,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,170.74142294898527,Midfielder
