_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6324,98076,31,24,7,1,1,0,6,3,3,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,202.17225056759048,Defender
1,6324,164778,6,3,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,254.96621883321635,Goalkeeper
1,6324,164782,32,31,1,0,0,0,0,0,0,2,1,1,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,174.34287194695045,Defender
1,6324,164785,19,12,7,1,1,0,2,0,2,2,0,2,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,91.67324722093171,Midfielder
1,6324,164787,16,13,3,1,0,1,1,1,0,1,0,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,272.154952687141,Midfielder
1,6324,164792,21,16,5,1,0,1,1,1,0,1,0,1,9,4,5,2,4,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,33,0,0,216.57804655945117,Striker
1,6324,164793,12,5,7,1,0,1,0,0,0,6,3,3,4,3,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,26,0,0,194.8056503444799,Striker
1,6324,164795,27,19,8,0,0,0,3,1,2,3,2,1,3,2,1,0,2,2,0,0,0,0,1,0,0,1,1,1,0,2,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,34,0,0,118.02930579694959,Midfielder
1,6324,176643,4,4,0,0,0,0,1,1,0,3,1,2,3,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Striker
1,6324,248363,18,15,3,0,0,0,0,0,0,6,4,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,169.9774792221442,Midfielder
