_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6245,97099,7,4,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,333.7479156637045,Goalkeeper
1,6245,97105,16,12,4,0,0,0,6,4,2,0,0,0,5,1,4,0,1,0,1,0,0,0,2,1,1,2,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,91.67324722093171,Defender
1,6245,97107,15,11,4,1,0,1,6,5,1,1,1,0,2,1,1,3,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,286.4788975654116,Defender
1,6245,98835,15,11,4,0,0,0,3,1,2,0,0,0,4,3,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,22.91831180523293,Defender
1,6245,100978,8,4,4,0,0,0,1,0,1,1,0,1,4,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,97.40282517223994,Midfielder
1,6245,164900,16,8,8,1,0,1,2,0,2,3,2,1,9,7,2,0,1,1,0,4,2,2,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0,0,0,33,0,0,145.14930809980856,Striker
1,6245,164901,7,3,4,0,0,0,1,1,0,5,2,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,17,0,0,,Striker
1,6245,178418,6,3,3,1,0,1,2,1,1,5,2,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,123.185925953127,Midfielder
1,6245,205672,9,7,2,0,0,0,1,1,0,2,1,1,4,3,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,63.02535746439057,Defender
1,6245,205678,18,10,8,0,0,0,7,3,4,6,2,4,8,7,1,1,1,1,0,0,0,0,1,2,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,31,0,0,91.67324722093171,Midfielder
