_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6245,97099,6,4,2,0,0,0,4,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,97.40282517223994,Goalkeeper
1,6245,97105,27,21,6,1,0,1,2,0,2,1,1,0,4,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,6,201.49015795433954,Midfielder
1,6245,98835,28,23,5,0,0,0,3,2,1,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,2,207.08331738299756,Defender
1,6245,100978,18,10,8,1,1,0,2,0,2,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,1,64.6623797361929,Defender
1,6245,164900,16,14,2,1,0,1,1,1,0,0,0,0,6,3,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,29,0,2,118.02930579694959,Striker
1,6245,164901,16,10,6,0,0,0,0,0,0,7,5,2,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,181.4366351247607,Striker
1,6245,178416,6,3,3,1,0,1,0,0,0,1,1,0,4,1,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,15,0,0,,Striker
1,6245,178418,10,7,3,0,0,0,1,0,1,2,0,2,8,4,4,0,3,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,5,177.6169164905552,Midfielder
1,6245,205672,20,16,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,214.85917317405867,Defender
1,6245,205678,22,18,4,0,0,0,4,1,3,1,1,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,3,28.64788975654116,Defender
1,6245,227787,24,16,8,0,0,0,5,2,3,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,170.7414229489853,Midfielder
1,6324,98076,31,19,12,0,0,0,7,1,6,0,0,0,2,2,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,246.37185190625402,Defender
1,6324,164778,7,7,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,197.67043932013402,Goalkeeper
1,6324,164785,13,8,5,1,0,1,5,2,3,0,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,45.83662361046587,Defender
1,6324,164787,15,10,5,2,1,1,0,0,0,1,1,0,4,1,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,30,0,3,269.2901637114869,Midfielder
1,6324,164792,17,11,6,1,0,1,3,3,0,1,1,0,8,5,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,28,0,7,233.48030151581045,Striker
1,6324,164793,8,6,2,1,0,1,0,0,0,2,0,2,4,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,17,0,3,126.05071492878113,Striker
