_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6244,96336,19,17,2,0,0,0,8,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,349.50425502980215,Goalkeeper
1,6244,96346,55,48,7,0,0,0,8,3,5,3,1,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,63,0,0,147.6468164375583,Defender
1,6244,96348,35,32,3,0,0,0,4,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,41,0,0,263.56058576017864,Defender
1,6244,96356,28,24,4,3,1,2,5,4,1,2,2,0,3,1,2,4,2,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,43,0,0,154.69860468532227,Midfielder
1,6244,96360,14,12,2,1,0,1,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,332.31552117587745,Striker
1,6244,153890,28,23,5,1,0,1,1,1,0,0,0,0,8,8,0,0,2,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,96.6866279283264,Defender
1,6244,164896,19,15,4,1,0,1,2,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,26,0,0,249.23664088190807,Midfielder
1,6244,178604,29,25,4,1,0,1,1,1,0,0,0,0,6,4,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,42,0,0,5.729577951308232,Midfielder
1,6244,219974,39,34,5,0,0,0,6,5,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,192.89579102737716,Midfielder
1,6244,219976,16,14,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,277.88453063844923,Striker
1,6244,223910,23,22,1,0,0,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,191.94086136882575,Defender
1,6328,99013,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Defender
1,6328,99014,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Midfielder
1,6328,99015,3,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,57.29577951308232,Midfielder
1,6328,156765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ForwardSubstitute
1,6328,156967,7,7,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,249.23664088190807,Midfielder
1,6328,165304,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,131.78029288008932,Defender
1,6328,165310,7,4,3,0,0,0,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,332.31552117587745,Defender
1,6328,165313,8,6,2,1,0,1,1,0,1,1,1,0,3,1,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,17,0,0,80.21409131831524,Striker
1,6328,180222,7,2,5,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,20.05352282957881,Goalkeeper
1,6328,180225,8,5,3,0,0,0,4,1,3,2,0,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,129.87043356298662,Defender
1,6328,180227,12,9,3,1,0,1,1,1,0,3,1,2,4,1,3,1,3,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,213.9042435155073,Midfielder
1,6328,421009,6,4,2,3,2,1,0,0,0,0,0,0,5,1,4,0,1,0,1,0,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,280.74931961410334,Midfielder
2,6244,96336,15,11,4,0,0,0,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,191.94086136882575,Goalkeeper
2,6244,96346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender
2,6244,96348,26,23,3,0,0,0,4,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,34,0,0,123.185925953127,Defender
2,6244,96356,22,19,3,0,0,0,3,3,0,0,0,0,3,3,0,2,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,36,0,0,184.16500557776462,Midfielder
