_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6244,96336,15,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,224.59945569128269,Goalkeeper
1,6244,96345,46,44,2,0,0,0,4,2,2,1,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,52,0,0,90.11063505239312,Defender
1,6244,96348,50,48,2,0,0,0,5,5,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,55,0,0,225.5370229924059,Defender
1,6244,96356,44,32,12,1,0,1,5,1,4,3,3,0,5,5,0,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,56,0,0,253.0563595161136,Midfielder
1,6244,96360,15,9,6,0,0,0,0,0,0,0,0,0,5,4,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,214.85917317405872,Striker
1,6244,164896,29,23,6,1,0,1,1,0,1,2,1,1,7,4,3,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,40,0,0,284.0233641577081,Midfielder
1,6244,205959,21,15,6,3,0,3,0,0,0,0,0,0,4,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39,0,0,177.61691649055516,Defender
1,6244,219974,38,34,4,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,142.28451912415443,Midfielder
1,6244,219975,28,19,9,0,0,0,2,1,1,2,1,1,6,4,2,0,3,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,37,0,0,182.39156478331205,Midfielder
1,6244,219976,12,11,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,117.45634800181874,Striker
1,6244,246575,23,19,4,1,1,0,4,3,1,0,0,0,6,4,2,2,3,2,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,254.5569632652657,Defender
1,6327,98020,7,5,2,0,0,0,0,0,0,3,1,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,16,0,0,,Striker
1,6327,119947,10,6,4,0,0,0,5,2,3,0,0,0,2,1,1,1,1,0,1,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,74.48451336700703,Defender
1,6327,119950,4,3,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Defender
1,6327,119963,13,8,5,0,0,0,2,2,0,2,0,2,6,3,3,1,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,326.58594322456923,Midfielder
1,6327,165333,7,5,2,0,0,0,2,1,1,0,0,0,4,1,3,0,2,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,252.10142985756227,Midfielder
1,6327,165334,11,7,4,1,0,1,1,0,1,1,1,0,6,4,2,0,3,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19,0,0,140.3746598070517,Midfielder
1,6327,246651,5,2,3,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,91.67324722093171,Defender
1,6327,246652,6,2,4,0,0,0,0,0,0,1,0,1,5,1,4,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,,Midfielder
1,6327,249108,9,6,3,0,0,0,3,2,1,3,1,2,7,1,6,0,2,0,2,1,0,1,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,223.45354010102105,Midfielder
1,6327,249371,6,1,5,0,0,0,6,1,5,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,174.75212751490108,Goalkeeper
1,6327,249373,4,2,2,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,22.91831180523293,MidfielderSubstitute
1,6327,429751,10,4,6,0,0,0,3,1,2,0,0,0,2,0,2,0,1,0,1,0,0,0,3,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,274.0648120042438,Defender
2,6244,96336,14,12,2,0,0,0,5,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,152.406773504799,Goalkeeper
2,6244,96345,33,29,4,0,0,0,5,3,2,0,0,0,4,3,1,4,1,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,0,0,145.78592787217616,Defender
2,6244,96348,34,31,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,132.5988040159905,Defender
2,6244,96356,41,32,9,3,1,2,0,0,0,2,2,0,3,1,2,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,4,3,0,1,0,0,1,0,1,1,0,0,0,57,0,0,117.45634800181874,Midfielder
2,6244,96360,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,163.29297161228462,Striker
2,6244,164896,16,12,4,0,0,0,2,1,1,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,48.701412586119986,Midfielder
2,6244,178599,25,23,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,29,0,0,218.542473285614,MidfielderSubstitute
2,6244,200741,8,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,100.26761414789407,MidfielderSubstitute
2,6244,205959,16,11,5,0,0,0,1,1,0,3,2,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,68.75493541569878,Defender
2,6244,219974,49,44,5,0,0,0,1,1,0,5,4,1,2,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,178.43542762645635,Midfielder
2,6244,219975,24,22,2,1,0,1,1,1,0,0,0,0,5,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,2,0,0,0,34,0,0,137.50987083139756,Midfielder
