_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6327,98020,8,6,2,0,0,0,0,0,0,4,1,3,4,3,1,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,11,0,0,231.09297736943208,Striker
1,6327,119947,20,14,6,0,0,0,11,6,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,154.6986046853223,Defender
1,6327,119950,10,7,3,0,0,0,1,0,1,2,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Defender
1,6327,119963,15,6,9,0,0,0,2,1,1,2,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,318.9465059561583,Midfielder
1,6327,165333,12,7,5,0,0,0,4,0,4,0,0,0,5,3,2,0,2,1,1,0,0,0,2,2,0,1,0,0,0,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,21,0,0,217.72396214971283,Midfielder
1,6327,165334,11,6,5,2,0,2,1,0,1,1,0,1,8,5,3,0,1,1,0,3,1,2,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,30,0,0,210.08452488130186,Midfielder
1,6327,246651,15,10,5,0,0,0,2,0,2,0,0,0,2,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,173.79719785634973,Defender
1,6327,246652,11,3,8,1,0,1,0,0,0,1,0,1,7,1,6,0,5,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,183.34649444186343,Midfielder
1,6327,249108,12,9,3,0,0,0,0,0,0,2,0,2,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,110.77184039195916,Midfielder
1,6327,249371,9,2,7,0,0,0,7,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,240.64227395494575,Goalkeeper
