_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6246,96703,11,7,4,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,97.40282517223997,Goalkeeper
1,6246,96722,19,16,3,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,143.2394487827058,Midfielder
1,6246,96725,6,6,0,3,0,3,0,0,0,0,0,0,5,2,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,297.93805346802804,Midfielder
1,6246,96728,14,11,3,2,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,20,0,0,303.6676314193363,Striker
1,6246,97384,23,17,6,0,0,0,7,3,4,0,0,0,3,0,3,1,2,0,2,0,0,0,3,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,203.40001727144224,Defender
1,6246,164908,16,11,5,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,74.48451336700703,Midfielder
1,6246,179966,18,13,5,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,338.0450991271857,Defender
1,6246,191720,18,14,4,0,0,0,2,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,237.77748497929167,Striker
1,6246,193534,8,8,0,0,0,0,1,1,0,1,1,0,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,326.58594322456923,Midfielder
1,6246,209849,13,8,5,2,0,2,2,0,2,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,119.36620731892151,Defender
1,6246,210486,15,15,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,1,4,1,3,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,22.91831180523293,Defender
1,6328,99013,27,22,5,2,1,1,2,1,1,1,0,1,2,2,0,1,0,0,0,2,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,65.89014644004466,Defender
1,6328,99015,13,9,4,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,217.7239621497128,Striker
1,6328,99023,6,3,3,0,0,0,0,0,0,0,0,0,5,2,3,0,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,1,2,2,0,0,0,0,1,0,0,0,15,0,0,229.1831180523293,Striker
1,6328,156767,28,24,4,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,185.25635375896613,Defender
1,6328,156967,34,32,2,0,0,0,3,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,212.81289533430578,Midfielder
1,6328,165306,11,6,5,1,1,0,0,0,0,0,0,0,6,2,4,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,175.70705717345245,Midfielder
1,6328,180222,10,9,1,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,,Goalkeeper
1,6328,180225,25,22,3,0,0,0,3,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,215.17748306024248,Defender
1,6328,180983,13,12,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,214.85917317405872,Midfielder
