_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6243,96818,12,6,6,0,0,0,8,3,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,216.57804655945117,Goalkeeper
1,6243,96822,41,37,4,0,0,0,4,2,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,4,280.7493196141034,Defender
1,6243,96831,38,29,9,1,0,1,4,1,3,1,1,0,3,0,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,44,0,2,187.43905012136932,Midfielder
1,6243,96832,11,7,4,0,0,0,0,0,0,1,0,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,2,,Striker
1,6243,96834,25,16,9,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30,0,3,246.371851906254,Striker
1,6243,96835,11,7,4,0,0,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,17,0,0,166.15776058793872,Striker
1,6243,97061,50,39,11,1,0,1,6,5,1,6,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,55,0,4,154.17773396247608,Midfielder
1,6243,97063,24,21,3,3,0,3,1,0,1,3,2,1,7,4,3,0,2,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,40,0,3,113.15916453833759,Defender
1,6243,174959,39,37,2,0,0,0,1,1,0,3,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,200.5352282957881,Defender
1,6243,193633,40,34,6,3,0,3,3,1,2,4,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,5,261.8417123747862,Defender
1,6243,210892,32,29,3,0,0,0,1,0,1,1,0,1,4,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,0,5,204.35494692999362,Midfielder
1,9186,174541,11,2,9,0,0,0,8,1,7,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,22.91831180523293,Defender
1,9186,174543,5,1,4,0,0,0,5,1,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,,Defender
1,9186,174547,10,5,5,0,0,0,0,0,0,0,0,0,4,2,2,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,85.94366926962348,Midfielder
1,9186,174550,9,4,5,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,22.91831180523293,Defender
1,9186,174551,7,4,3,0,0,0,1,1,0,13,4,9,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,3,229.1831180523293,Striker
1,9186,174553,8,3,5,0,0,0,1,0,1,1,1,0,2,0,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17,0,3,34.37746770784939,Midfielder
1,9186,174556,6,3,3,0,0,0,1,0,1,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,169.97747922214418,Midfielder
1,9186,174557,17,10,7,0,0,0,3,0,3,7,3,4,3,1,2,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,27,0,8,97.40282517223994,Striker
1,9186,174558,10,3,7,0,0,0,5,1,4,1,1,0,7,4,3,0,2,0,0,0,0,2,1,1,1,1,0,3,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,20,0,5,273.1098823456924,Midfielder
1,9186,174571,6,3,3,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,11.459155902616464,Goalkeeper
1,9186,183172,4,1,3,1,0,1,3,1,2,0,0,0,4,2,2,0,1,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,40.10704565915763,Defender
2,6243,96818,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,315.1267873219528,Goalkeeper
2,6243,96822,24,18,6,0,0,0,2,1,1,2,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,5,283.61410858975745,Defender
2,6243,96831,22,15,7,0,0,0,1,0,1,1,0,1,1,0,1,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30,0,1,94.85634608276962,Midfielder
2,6243,96832,5,5,0,1,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,74.48451336700703,Striker
2,6243,96834,12,8,4,0,0,0,2,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,2,208.17466556419907,Striker
2,6243,96835,7,3,4,0,0,0,1,0,1,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,,Striker
2,6243,97061,21,16,5,0,0,0,1,1,0,4,3,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,3,0,0,0,0,28,0,1,177.6169164905552,Midfielder
2,6243,97063,7,6,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,68.75493541569878,Defender
2,6243,174959,22,19,3,0,0,0,2,2,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,257.8310078088705,Defender
2,6243,176061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ForwardSubstitute
2,6243,193633,22,16,6,4,1,3,0,0,0,1,1,0,6,5,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,4,202.82705947631143,Defender
2,6243,210888,15,13,2,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,2,243.5070629305999,DefenderSubstitute
2,6243,210892,16,14,2,0,0,0,0,0,0,1,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,97.40282517223994,Midfielder
2,9186,174541,8,5,3,1,0,1,3,2,1,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,16,0,5,,Defender
2,9186,174543,1,0,1,0,0,0,1,0,1,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Defender
2,9186,174547,6,3,3,0,0,0,0,0,0,2,1,1,3,1,2,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,,Midfielder
2,9186,174550,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,,Defender
2,9186,174551,3,1,2,0,0,0,0,0,0,7,2,5,3,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Striker
2,9186,174553,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,,Midfielder
2,9186,174556,8,3,5,0,0,0,1,0,1,1,0,1,4,3,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,5,186.21128341751756,Midfielder
2,9186,174557,8,3,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,,Striker
2,9186,174558,5,3,2,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,5.729577951308232,Midfielder
