_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,7648,164911,14,8,6,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,257.8310078088705,Goalkeeper
1,7648,164914,15,10,5,0,0,0,6,3,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5.729577951308232,Defender
1,7648,164915,14,7,7,0,0,0,3,1,2,0,0,0,3,3,0,1,2,2,0,1,0,1,0,1,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,305.5774907364391,Midfielder
1,7648,164916,28,17,11,0,0,0,11,3,8,3,2,1,3,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,171.88733853924697,Defender
1,7648,164919,18,11,7,0,0,0,2,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,189.07607239317167,Defender
1,7648,164921,17,13,4,2,1,1,1,1,0,5,3,2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,150.87888605111678,Midfielder
1,7648,164923,13,9,4,0,0,0,0,0,0,8,4,4,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,45.83662361046586,Midfielder
1,7648,164926,14,10,4,0,0,0,4,2,2,1,1,0,2,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,60.16056848873644,Midfielder
1,7648,164928,8,6,2,1,1,0,1,0,1,0,0,0,4,1,3,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,18,0,0,237.77748497929167,Striker
1,7648,164929,7,3,4,0,0,0,1,1,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,68.75493541569878,Striker
