_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6242,14772,20,16,4,0,0,0,4,1,3,5,3,2,3,0,3,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,23,0,2,116.0239535139917,Defender
1,6242,96373,30,24,6,2,0,2,8,8,0,0,0,0,2,2,0,1,0,2,1,1,1,2,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,44,0,7,164.247901270836,Midfielder
1,6242,96374,11,9,2,0,0,0,1,1,0,5,2,3,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,18,0,1,301.75777210223356,Midfielder
1,6242,96471,25,19,6,0,0,0,7,2,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4,163.2929716122846,Defender
1,6242,96496,21,14,7,0,0,0,5,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,3,194.80565034447994,Midfielder
1,6242,96525,32,27,5,0,0,0,2,1,1,8,4,4,5,2,3,0,3,0,0,0,0,0,0,1,0,0,0,4,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,41,0,5,213.63140647020694,Midfielder
1,6242,96541,21,16,5,2,1,1,1,1,0,9,7,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,0,2,74.48451336700703,Defender
1,6242,96578,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,169.02254956359286,Goalkeeper
1,6242,104771,10,7,3,0,0,0,1,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,0,16,0,2,246.371851906254,Striker
1,6242,178251,12,9,3,1,0,1,0,0,0,2,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,19,0,4,,Midfielder
1,6242,178419,21,18,3,0,0,0,3,2,1,3,2,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,3,222.18030055628589,Defender
1,6636,114248,7,6,1,0,0,0,0,0,0,3,1,2,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,9,0,1,269.2901637114869,Striker
1,6636,114251,5,5,0,1,0,1,0,0,0,3,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,214.85917317405872,Midfielder
1,6636,114258,9,6,3,0,0,0,2,1,1,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,4,,Defender
1,6636,114259,23,18,5,0,0,0,1,1,0,1,0,1,3,2,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,3,210.56198971057754,Midfielder
1,6636,114260,7,3,4,1,0,1,2,0,2,4,1,3,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,103.13240312354819,Defender
1,6636,114262,7,2,5,0,0,0,7,2,5,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11.459155902616464,Goalkeeper
1,6636,156760,13,8,5,0,0,0,2,0,2,4,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,232.0479070279834,Midfielder
1,6636,164591,12,4,8,0,0,0,3,0,3,11,5,6,1,1,0,3,0,3,0,3,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,1,17.188733853924695,Midfielder
1,6636,420580,15,9,6,0,0,0,4,0,4,2,0,2,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,217.72396214971283,Defender
1,6636,425168,9,5,4,1,0,1,0,0,0,5,2,3,2,0,2,0,0,1,0,1,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,152.78874536821954,Midfielder
1,6636,428057,10,8,2,0,0,0,4,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,40.10704565915762,Defender
2,6242,14772,15,13,2,0,0,0,6,4,2,1,0,1,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,25,0,5,99.31268448934269,Defender
2,6242,96373,19,16,3,2,0,2,2,0,2,0,0,0,4,1,3,2,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,37,0,8,169.02254956359286,Midfielder
2,6242,96374,10,6,4,0,0,0,1,0,1,3,3,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,309.3972093706446,Midfielder
2,6242,96471,16,11,5,0,0,0,5,1,4,2,2,0,1,1,0,1,1,0,0,0,3,0,0,0,0,0,0,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,25,0,2,318.94650595615826,Defender
2,6242,96493,2,1,1,1,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,286.4788975654116,MidfielderSubstitute
2,6242,96496,18,12,6,0,0,0,5,2,3,0,0,0,5,4,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,179.52677580765794,Midfielder
2,6242,96525,27,20,7,0,0,0,2,0,2,4,4,0,6,3,3,0,3,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,38,0,2,91.67324722093174,Midfielder
2,6242,96528,15,9,6,1,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,22,0,4,180.48170546620932,ForwardSubstitute
2,6242,96536,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,,ForwardSubstitute
2,6242,96541,20,13,7,3,0,3,3,1,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,3,90.24085273310466,Defender
2,6242,96578,8,2,6,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,322.7662245903637,Goalkeeper
2,6242,104771,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,Striker
2,6242,178251,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,246.371851906254,Midfielder
2,6242,178419,13,9,4,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,5,286.4788975654116,Defender
2,6636,114248,9,4,5,0,0,0,1,0,1,0,0,0,5,4,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13,0,2,,Striker
2,6636,114251,11,9,2,1,0,1,1,0,1,1,0,1,3,1,2,1,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,18,0,3,45.83662361046586,Midfielder
2,6636,114254,7,4,3,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,,MidfielderSubstitute
2,6636,114258,17,11,6,0,0,0,4,0,4,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,242.5521332720485,Defender
2,6636,114259,13,10,3,0,0,0,3,2,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,234.91269600363748,Midfielder
2,6636,114260,15,9,6,0,0,0,6,1,5,1,0,1,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3,74.48451336700703,Defender
2,6636,114262,7,2,5,0,0,0,6,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,139.41973014850035,Goalkeeper
2,6636,156760,13,8,5,0,0,0,1,0,1,1,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,3,292.20847551671983,Midfielder
2,6636,164591,15,13,2,0,0,0,1,1,0,0,0,0,4,3,1,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,29,0,5,332.31552117587756,Midfielder
2,6636,420580,12,10,2,0,0,0,2,1,1,2,2,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,336.13523981008296,Defender
2,6636,421767,7,5,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,3,189.07607239317167,ForwardSubstitute
