_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6242,96471,35,22,13,0,0,0,10,4,6,2,2,0,4,3,1,2,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,236.05861159389917,Defender
1,6242,96485,29,25,4,0,0,0,5,5,0,1,1,0,3,2,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,87.08958485988514,Defender
1,6242,96493,18,11,7,0,0,0,1,0,1,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,26,0,6,45.83662361046586,Midfielder
1,6242,96494,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,23,0,6,121.46705256773453,Midfielder
1,6242,96498,20,11,9,0,0,0,0,0,0,1,0,1,6,2,4,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,27,0,4,211.99438419840465,Midfielder
1,6242,96521,27,23,4,0,0,0,4,3,1,1,0,1,4,1,3,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,3,187.16621307606897,Midfielder
1,6242,96528,21,14,7,0,0,0,0,0,0,1,1,0,6,5,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,31,0,5,126.05071492878109,Midfielder
1,6242,96535,30,22,8,0,0,0,3,2,1,2,0,2,5,2,3,3,1,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,5,217.72396214971283,Defender
1,6242,96536,14,11,3,0,0,0,0,0,0,1,0,1,5,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,0,1,214.85917317405872,Striker
1,6242,96579,24,19,5,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4,190.9859317102744,Defender
