_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6636,114251,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,303.6676314193363,Midfielder
1,6636,114253,13,7,6,1,0,1,3,1,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,,Striker
1,6636,114254,10,7,3,0,0,0,2,1,1,1,0,1,2,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,57.29577951308232,Midfielder
1,6636,114258,8,4,4,0,0,0,5,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,57.29577951308232,Defender
1,6636,114259,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,332.31552117587745,Defender
1,6636,114260,7,4,3,0,0,0,2,0,2,1,0,1,6,2,4,0,2,0,2,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,97.40282517223994,Defender
1,6636,114262,6,4,2,0,0,0,5,3,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Goalkeeper
1,6636,156760,16,7,9,0,0,0,4,0,4,4,2,2,5,2,3,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,191.94086136882575,Midfielder
1,6636,164591,11,4,7,0,0,0,1,1,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,19,0,0,217.7239621497128,Midfielder
1,6636,420580,12,4,8,0,0,0,5,1,4,2,2,0,9,4,5,2,2,1,1,0,0,0,1,2,3,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,339.4774936150127,Defender
