_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,7649,165355,34,26,8,2,1,1,4,4,0,1,0,1,5,2,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,52,0,0,230.61551254015632,Striker
1,7649,165357,29,25,4,2,1,1,1,1,0,2,0,2,2,0,2,1,0,0,0,2,1,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,39,0,0,171.06882740334575,Midfielder
1,7649,165358,37,33,4,0,0,0,8,8,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,45,0,0,150.87888605111675,Midfielder
1,7649,165361,23,17,6,4,1,3,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,162.88371604433402,Defender
1,7649,165363,63,52,11,0,0,0,16,10,6,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,169.84106069949402,Defender
1,7649,165364,22,18,4,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,0,0,0,30,0,0,194.8056503444799,Striker
1,7649,165365,35,34,1,1,0,1,2,2,0,1,0,1,6,5,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,0,0,0,41,0,0,151.51550582348432,Midfielder
1,7649,191678,33,29,4,2,1,1,1,1,0,1,1,0,7,4,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,45,0,0,210.84846860814295,Striker
1,7649,209834,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,63.02535746439057,Goalkeeper
1,7649,242633,33,28,5,3,0,3,3,1,2,0,0,0,3,2,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,197.93087468155713,Defender
1,7649,242634,41,38,3,0,0,0,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,184.06269168577697,Defender
1,9197,189528,5,2,3,0,0,0,1,0,1,0,0,0,11,7,4,1,2,1,1,0,0,0,5,6,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,94.53803619658584,Defender
1,9197,213375,9,6,3,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,120.32113697747288,Midfielder
1,9197,249048,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Defender
1,9197,249064,5,0,5,0,0,0,5,0,5,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,343.77467707849394,Goalkeeper
