_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6242,14772,13,9,4,1,0,1,3,1,2,5,5,0,2,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,124.61832044095404,Defender
1,6242,96373,22,16,6,3,0,3,1,1,0,0,0,0,4,1,3,3,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,210.08452488130186,Midfielder
1,6242,96374,16,7,9,0,0,0,2,0,2,2,1,1,4,1,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,213.9042435155073,Midfielder
1,6242,96471,8,6,2,0,0,0,3,2,1,4,3,1,1,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,,Defender
1,6242,96496,20,10,10,0,0,0,6,2,4,1,1,0,4,2,2,0,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,214.28621537892786,Midfielder
1,6242,96525,20,9,11,0,0,0,3,2,1,7,4,3,3,1,2,0,1,0,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,208.17466556419907,Midfielder
1,6242,96541,18,10,8,1,0,1,3,0,3,1,1,0,5,3,2,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,39,0,0,78.30423200121253,Defender
1,6242,96578,6,3,3,0,0,0,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,223.45354010102105,Goalkeeper
1,6242,104771,13,6,7,1,0,1,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,22,0,0,230.61551254015637,Striker
1,6242,178251,6,5,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,166.15776058793872,Midfielder
1,6242,178419,7,4,3,1,0,1,3,1,2,2,1,1,3,1,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,252.10142985756227,Defender
1,6243,96818,16,2,14,0,0,0,14,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,148.96902673401405,Goalkeeper
1,6243,96820,6,5,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,120.32113697747288,Defender
1,6243,96828,21,15,6,0,0,0,3,2,1,4,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,283.61410858975745,Midfielder
1,6243,96832,15,12,3,3,0,3,1,0,1,4,2,2,4,1,3,0,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,220.5887511253669,Striker
1,6243,96835,5,5,0,0,0,0,0,0,0,8,0,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,,Striker
1,6243,97061,19,12,7,0,0,0,2,0,2,3,3,0,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,28,0,0,187.93015680291,Midfielder
1,6243,97063,16,8,8,2,0,2,5,0,5,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,118.88874248964584,Defender
1,6243,174959,19,16,3,0,0,0,5,2,3,0,0,0,2,0,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,170.2503162674446,Defender
1,6243,176061,7,5,2,1,0,1,1,1,0,0,0,0,5,1,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0,0,,Striker
1,6243,210888,20,8,12,0,0,0,4,0,4,0,0,0,4,1,3,1,0,0,0,0,0,0,4,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,0,0,237.0612877353781,Defender
1,6243,210892,19,17,2,0,0,0,2,2,0,2,0,2,3,1,2,0,2,1,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,211.9943841984046,Midfielder
2,6242,14772,7,2,5,0,0,0,5,0,5,1,0,1,2,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,303.6676314193363,Defender
2,6242,96373,12,10,2,1,0,1,0,0,0,0,0,0,3,2,1,0,1,0,1,3,2,1,3,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,106.57014989433313,Midfielder
2,6242,96374,8,4,4,0,0,0,1,0,1,3,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,306.53242039499037,Midfielder
2,6242,96471,7,4,3,0,0,0,5,3,2,4,3,1,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,7,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,355.2338329811104,Defender
2,6242,96496,9,6,3,0,0,0,1,0,1,1,1,0,6,1,5,0,6,1,5,0,0,0,0,0,0,0,2,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,,Midfielder
2,6242,96500,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,189.07607239317167,GoalkeeperSubstitute
2,6242,96525,12,5,7,0,0,0,2,0,2,4,0,4,3,1,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,137.5098708313976,Midfielder
2,6242,96541,14,7,7,1,0,1,2,0,2,1,0,1,5,3,2,0,1,0,1,0,0,0,0,2,0,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,35,0,0,207.69720073492343,Defender
2,6242,96578,3,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28.64788975654116,Goalkeeper
2,6242,104771,6,2,4,1,0,1,1,0,1,1,1,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,16,0,0,226.31832907667518,Striker
2,6242,178251,14,9,5,0,0,0,1,1,0,3,1,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,229.1831180523293,Midfielder
2,6242,178419,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,329.45073220022334,Defender
2,6243,96818,8,4,4,0,0,0,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,40.10704565915762,Goalkeeper
2,6243,96820,15,12,3,0,0,0,2,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,191.53160580087518,Defender
2,6243,96828,14,10,4,1,1,0,1,1,0,1,0,1,2,2,0,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,157.88170354716016,Midfielder
2,6243,96832,8,6,2,0,0,0,0,0,0,4,2,2,5,2,3,0,3,2,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,252.10142985756227,Striker
2,6243,96833,6,3,3,3,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,13,0,0,48.70141258611997,ForwardSubstitute
2,6243,96835,6,4,2,0,0,0,1,1,0,1,1,0,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Striker
2,6243,97061,26,21,5,0,0,0,3,1,2,6,4,2,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,178.76283208081682,Midfielder
2,6243,97063,21,15,6,4,3,1,2,1,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,158.13635145610723,Defender
2,6243,174959,24,20,4,0,0,0,6,5,1,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,243.09780736264926,Defender
