_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6246,96703,7,5,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17.188733853924695,Goalkeeper
1,6246,96719,20,14,6,0,0,0,5,3,2,1,1,0,3,1,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,179.52677580765794,Defender
1,6246,96722,22,16,6,1,0,1,2,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,211.17587306250343,Midfielder
1,6246,96725,12,8,4,2,0,2,3,1,2,0,0,0,9,6,3,0,3,1,2,1,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,234.91269600363748,Midfielder
1,6246,96728,15,9,6,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,68.75493541569878,Midfielder
1,6246,97384,17,9,8,0,0,0,6,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,210.08452488130186,Defender
1,6246,98838,18,13,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,236.8225553207403,Midfielder
1,6246,164906,15,10,5,2,0,2,4,0,4,1,1,0,5,1,4,0,4,0,4,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,68.75493541569878,Defender
1,6246,179966,11,7,4,0,0,0,3,1,2,0,0,0,3,1,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,332.31552117587745,Defender
1,6246,179976,12,8,4,1,0,1,1,0,1,2,1,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,151.83381570966816,Striker
1,6246,191720,6,3,3,0,0,0,0,0,0,2,0,2,3,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,229.1831180523293,Striker
1,6340,99039,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,338.0450991271857,Goalkeeper
1,6340,99047,29,20,9,0,0,0,8,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,261.65072644307594,Defender
1,6340,99056,23,16,7,1,0,1,6,3,3,2,1,1,1,0,1,1,0,0,0,3,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,257.8310078088705,Midfielder
1,6340,99062,17,16,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,204.35494692999362,Midfielder
1,6340,111965,19,14,5,0,0,0,6,2,4,0,0,0,3,0,3,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,41,0,0,124.14085561167836,Defender
1,6340,111973,17,14,3,1,0,1,3,3,0,1,0,1,8,7,1,0,3,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,28,0,0,250.95551426730057,Striker
1,6340,165204,15,13,2,0,0,0,6,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,177.6169164905552,Defender
1,6340,179681,14,10,4,0,0,0,1,1,0,0,0,0,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,,Midfielder
1,6340,196832,16,13,3,0,0,0,4,1,3,1,1,0,2,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,343.77467707849394,Defender
1,6340,196836,14,9,5,0,0,0,0,0,0,1,0,1,4,2,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,208.1746655641991,Striker
1,6340,210695,7,5,2,1,0,1,1,0,1,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0,0,183.34649444186343,Striker
2,6246,96703,10,6,4,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,260.6957967845246,Goalkeeper
2,6246,96719,27,23,4,0,0,0,4,1,3,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,143.2394487827058,Defender
2,6246,96722,35,22,13,0,0,0,8,2,6,3,3,0,3,2,1,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0,186.21128341751756,Midfielder
2,6246,96725,10,8,2,1,0,1,2,2,0,2,1,1,5,3,2,1,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Midfielder
2,6246,96728,8,4,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,85.94366926962348,Midfielder
2,6246,97384,26,20,6,0,0,0,4,1,3,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,124.61832044095404,Defender
2,6246,98838,22,16,6,0,0,0,4,2,2,2,1,1,4,1,3,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,231.09297736943205,Midfielder
2,6246,164906,18,9,9,0,0,0,5,1,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,100.26761414789407,Defender
2,6246,179966,12,8,4,0,0,0,2,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,355.2338329811104,Defender
2,6246,179974,2,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,ForwardSubstitute
2,6246,179976,10,6,4,0,0,0,2,0,2,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,191.94086136882578,Striker
2,6246,191720,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,45.83662361046586,Striker
