_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,7649,165357,37,27,10,2,0,2,8,6,2,5,4,1,2,2,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,144.05795991860697,Midfielder
1,7649,165358,45,34,11,0,0,0,6,3,3,5,4,1,2,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,171.17114129533343,Midfielder
1,7649,165361,22,16,6,0,0,0,4,0,4,2,2,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,305.9594625998596,Defender
1,7649,165363,42,32,10,0,0,0,10,3,7,3,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,142.52325153879227,Defender
1,7649,165365,31,28,3,1,0,1,2,1,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,163.7022271802352,Midfielder
1,7649,191678,28,26,2,0,0,0,0,0,0,1,0,1,4,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,146.10423775835991,Striker
1,7649,209834,8,8,0,0,0,0,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Goalkeeper
1,7649,209845,31,21,10,2,1,1,6,1,5,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,133.69015219719208,Defender
1,7649,225120,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,180.48170546620932,Striker
1,7649,242635,7,5,2,0,0,0,2,2,0,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,234.91269600363748,Striker
1,7649,246558,39,31,8,3,1,2,5,2,3,1,0,1,6,3,3,1,2,1,1,0,0,0,0,2,1,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,57,0,0,236.8225553207403,Defender
1,9186,174541,7,5,2,1,0,1,3,1,2,0,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,315.1267873219528,Defender
1,9186,174547,6,2,4,0,0,0,3,0,3,0,0,0,4,4,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,237.77748497929167,Defender
1,9186,174550,14,8,6,0,0,0,5,1,4,5,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,184.16500557776462,Defender
1,9186,174551,4,1,3,1,0,1,0,0,0,9,1,8,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,131.78029288008932,Striker
1,9186,174553,13,11,2,3,0,3,3,3,0,1,0,1,5,1,4,0,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,0,154.69860468532227,Striker
1,9186,174556,9,6,3,1,1,0,2,1,1,1,1,0,2,0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,343.77467707849394,Midfielder
1,9186,174557,9,5,4,0,0,0,1,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,17,0,0,183.34649444186343,Midfielder
1,9186,174558,9,4,5,0,0,0,2,0,2,1,0,1,4,3,1,0,1,1,0,0,0,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,313.21692800485,Striker
1,9186,174559,8,5,3,0,0,0,0,0,0,3,1,2,5,2,3,0,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,,Midfielder
1,9186,174561,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,ForwardSubstitute
1,9186,174571,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,45.83662361046586,Goalkeeper
1,9186,183172,6,2,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,83.07888029396939,Defender
2,7649,165355,22,19,3,0,0,0,6,4,2,0,0,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,229.1831180523293,MidfielderSubstitute
2,7649,165357,14,6,8,1,0,1,4,0,4,3,0,3,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,133.69015219719208,Midfielder
2,7649,165358,32,24,8,1,0,1,2,0,2,1,1,0,3,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,39,0,0,120.32113697747288,Midfielder
2,7649,165361,22,14,8,0,0,0,8,4,4,3,3,0,1,0,1,4,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,248.28171122335672,Defender
2,7649,165363,22,15,7,0,0,0,8,3,5,1,1,0,2,2,0,2,1,1,0,0,0,0,3,1,0,0,0,0,0,5,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,194.80565034447994,Defender
2,7649,165364,12,12,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,127.96057424588383,ForwardSubstitute
2,7649,165365,24,21,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,157.5633936609764,Midfielder
2,7649,191678,3,1,2,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,120.32113697747288,Striker
2,7649,209834,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Goalkeeper
2,7649,209845,30,23,7,3,0,3,5,1,4,0,0,0,6,4,2,0,1,1,0,1,0,1,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,239.20987946711872,Defender
2,7649,225120,5,4,1,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,13,0,0,269.2901637114869,Striker
2,7649,225124,16,11,5,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,24,0,0,187.16621307606897,ForwardSubstitute
2,7649,242635,9,7,2,0,0,0,1,0,1,4,0,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,211.9943841984046,Striker
2,7649,246558,25,18,7,1,1,0,4,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,199.26198875105297,Defender
2,9186,174541,20,8,12,0,0,0,9,2,7,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,338.0450991271857,Defender
2,9186,174543,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,DefenderSubstitute
2,9186,174547,7,4,3,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,28.64788975654116,Defender
2,9186,174550,14,4,10,0,0,0,5,0,5,1,1,0,3,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,93.58310653803444,Defender
2,9186,174551,7,5,2,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,94.53803619658584,Striker
2,9186,174553,6,3,3,0,0,0,1,0,1,0,0,0,5,3,2,0,2,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,171.88733853924697,Striker
2,9186,174556,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,326.58594322456923,Midfielder
2,9186,174557,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Midfielder
2,9186,174559,8,7,1,0,0,0,0,0,0,1,0,1,4,0,4,0,2,0,2,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,189.07607239317167,Midfielder
2,9186,174561,20,7,13,0,0,0,3,0,3,3,2,1,10,4,6,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,31,0,0,122.23099629457562,ForwardSubstitute
2,9186,174571,6,2,4,0,0,0,6,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,113.15916453833759,Goalkeeper
2,9186,183172,10,3,7,0,0,0,6,1,5,0,0,0,3,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,239.20987946711872,Defender
