_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6324,98076,40,30,10,0,0,0,7,2,5,3,0,3,5,0,5,0,2,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,248.82738531395754,Defender
1,6324,164778,7,3,4,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8.59436692696235,Goalkeeper
1,6324,164785,22,14,8,2,1,1,3,1,2,1,0,1,4,1,3,0,2,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,60.16056848873644,Defender
1,6324,164787,20,13,7,0,0,0,1,0,1,0,0,0,3,1,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,144.38536437296747,Midfielder
1,6324,164792,16,14,2,0,0,0,1,1,0,0,0,0,3,1,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,61.11549814728781,Striker
1,6324,164793,9,6,3,0,0,0,0,0,0,3,0,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,317.9915762976069,Striker
1,6324,164795,17,9,8,1,0,1,3,1,2,2,0,2,6,3,3,0,2,0,2,0,0,0,0,2,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,27,0,0,215.81410283261013,Midfielder
1,6324,176643,45,41,4,0,0,0,2,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,240.00565418257818,Defender
1,6324,182972,30,23,7,0,0,0,3,3,0,4,0,4,2,0,2,0,2,0,2,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,249.23664088190807,Midfielder
1,6324,248363,25,17,8,0,0,0,0,0,0,5,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,247.19036304215516,Midfielder
1,6324,249103,41,33,8,0,0,0,1,0,1,0,0,0,3,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,81.77670348685385,Defender
1,9186,174541,8,5,3,2,1,1,2,0,2,0,0,0,11,6,5,0,4,3,1,0,0,0,4,2,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,27,0,0,349.50425502980215,Midfielder
1,9186,174543,10,7,3,0,0,0,3,1,2,2,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,250.19157054045945,Defender
1,9186,174547,16,8,8,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,160.4281826366305,Midfielder
1,9186,174550,6,3,3,0,0,0,1,1,0,0,0,0,3,2,1,0,1,1,0,0,0,0,2,1,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,349.50425502980215,Defender
1,9186,174551,18,8,10,0,0,0,0,0,0,9,9,0,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,246.371851906254,Striker
1,9186,174553,7,5,2,1,0,1,0,0,0,0,0,0,10,6,4,0,4,4,0,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,23,0,0,,Midfielder
1,9186,174556,13,9,4,0,0,0,1,0,1,2,2,0,2,0,2,4,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,177.6169164905552,Midfielder
1,9186,174557,8,4,4,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,143.2394487827058,Striker
1,9186,174559,12,9,3,0,0,0,0,0,0,2,2,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,166.15776058793872,Striker
1,9186,174561,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,ForwardSubstitute
1,9186,174571,5,4,1,0,0,0,4,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Goalkeeper
1,9186,183172,10,6,4,1,1,0,2,1,1,2,2,0,3,2,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,11.459155902616464,Defender
2,6324,98076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender
2,6324,164778,9,3,6,0,0,0,8,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,228.22818839377788,Goalkeeper
2,6324,164781,22,15,7,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,287.9112920532387,DefenderSubstitute
2,6324,164785,25,11,14,0,0,0,8,1,7,2,1,1,3,1,2,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,0,0,110.29437556268346,Defender
2,6324,164787,12,9,3,2,0,2,0,0,0,0,0,0,4,3,1,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,0,0,253.0563595161136,Midfielder
