_period_id,_team_id,_player_id,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Fouls_won,Fouls_conceded,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Tackles_won_with_possession,Tackles_won_without_possession,Tackle_lost_Challenge,Saves,Outfielder_saves,Cross_claim_(gk),Clearance_won,Clearance_lost,Headed_clearance_won,Headed_clearance_lost,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_open_play,Goals_from_set_play,Goals_from_penalty,Own_goals,Successful_take_on_dribble,Unsuccessful_take_on_dribble,Penalty_conceeded,Yellow_card,Red_card,Total_touches,Turnovers,Ball_recoveries,Pass_direction,PlayerType
1,6242,14772,13,7,6,0,0,0,3,0,3,2,1,1,1,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,171.88733853924697,Defender
1,6242,96373,21,9,12,3,0,3,1,1,0,0,0,0,1,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,159.28226704636887,Midfielder
1,6242,96374,16,4,12,0,0,0,4,0,4,1,1,0,8,3,5,0,5,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,22.91831180523293,Midfielder
1,6242,96471,12,9,3,0,0,0,1,0,1,3,1,2,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,57.29577951308232,Defender
1,6242,96496,12,7,5,0,0,0,0,0,0,4,3,1,8,3,5,0,3,1,2,0,0,0,2,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,,Midfielder
1,6242,96500,5,2,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17.188733853924695,Goalkeeper
1,6242,96521,14,8,6,0,0,0,2,1,1,3,3,0,2,2,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,130.34789839226224,Midfielder
1,6242,96541,20,14,6,0,0,0,4,2,2,1,1,0,5,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,39,0,0,56.5795822691688,Defender
1,6242,104771,3,3,0,1,0,1,0,0,0,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,343.77467707849394,Striker
1,6242,178251,10,8,2,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,170.7414229489853,Midfielder
1,6242,178419,5,2,3,0,0,0,2,0,2,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,123.185925953127,Defender
1,6340,99039,11,7,4,0,0,0,5,1,4,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,42.97183463481174,Goalkeeper
1,6340,99047,26,17,9,0,0,0,3,1,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,338.0450991271857,Defender
1,6340,99056,23,19,4,0,0,0,5,4,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,206.26480624709637,Midfielder
