matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType
1694396,2H,10682,8421,5,4,1,0,0,0,0,0,0,0,0,0,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,Midfielder
1694434,1H,9905,70403,23,18,5,1,0,1,1,1,0,1,1,0,6,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24,Midfielder
1694407,1H,3148,14732,20,15,5,3,0,3,0,0,0,4,4,0,5,2,2,0,0,0,0,0,1,0,0,4,1,3,0,0,0,0,0,0,20,Forward
1694408,2H,4687,223071,20,17,3,0,0,0,2,1,1,1,0,1,13,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Midfielder
1694414,2H,7047,21275,23,19,4,0,0,0,0,0,0,4,3,1,10,6,3,2,1,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,27,Defender
1694440,2H,4418,7936,50,49,1,0,0,0,4,3,1,2,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,51,Midfielder
1694395,2H,11944,33235,9,6,3,0,0,0,1,0,1,3,2,1,8,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forward
1694436,1H,3148,3319,23,19,4,1,0,1,1,1,0,0,0,0,6,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,Midfielder
1694393,2H,8731,50461,5,3,2,0,0,0,0,0,0,7,0,7,6,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,Forward
1694437,1H,4418,7915,26,24,2,0,0,0,2,0,2,1,1,0,5,1,3,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,28,Defender
1694435,1H,10682,8425,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,Goalkeeper
1694434,E1,9905,7926,5,5,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,5,Midfielder
1694440,E1,9905,70965,8,8,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,Midfielder
1694419,2H,5629,7860,7,6,1,0,0,0,1,0,1,2,0,2,7,2,3,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,11,Defender
1694428,1H,9905,3305,20,12,8,1,1,0,1,0,1,3,2,1,1,0,0,1,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,23,Defender
1694430,1H,3148,14795,36,33,3,1,0,1,1,0,1,3,2,1,8,4,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,38,Defender
1694395,1H,8731,50849,12,10,2,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,13,Goalkeeper
1694411,1H,1598,3346,46,43,3,0,0,0,5,4,1,3,1,2,15,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,Midfielder
1694411,1H,1598,70125,17,15,2,2,2,0,2,2,0,0,0,0,5,1,3,4,0,3,2,1,1,0,0,3,1,2,1,0,0,0,0,0,18,Forward
1694432,1H,3757,20395,24,18,6,3,1,2,2,0,2,0,0,0,6,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,24,Defender
1694421,1H,9905,70965,24,22,2,2,0,2,3,3,0,1,1,0,14,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Midfielder
1694439,1H,3148,14855,37,35,2,0,0,0,2,1,1,4,2,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,Defender
1694403,1H,3148,14732,22,16,6,2,0,2,1,0,1,2,0,2,9,3,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,28,Forward
1694434,1H,13869,14817,14,11,3,0,0,0,0,0,0,5,1,4,8,2,3,0,2,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,15,Forward
1694438,1H,9905,70403,27,25,2,1,1,0,1,0,1,0,0,0,10,4,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,28,Midfielder
1694434,E1,13869,21097,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,Defender
1694431,2H,5629,134769,8,8,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10,ForwardSubstitute
1694390,2H,11944,83753,6,6,0,0,0,0,0,0,0,0,0,0,10,3,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7,Midfielder
1694415,2H,3757,21350,18,15,3,2,0,2,1,1,0,1,0,1,8,1,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,Midfielder
1694417,1H,8274,62071,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11,Goalkeeper
1694414,1H,7047,51398,22,19,3,0,0,0,3,1,2,2,1,1,4,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,Midfielder
1694401,2H,10682,8425,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Goalkeeper
1694400,2H,14496,15142,11,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Forward
