,count,unique,top,freq,mean,std,min,25%,50%,75%,max
matchId,2765,,,,1694416.66184448,15.0034345391802,1694390,1694404,1694418,1694430,1694440
matchPeriod,2765,5,2H,1372,,,,,,,
teamId,2765,,,,8271.65786618445,3823.90212218692,1598,4418,8731,10682,14622
playerId,2765,,,,46827.4896925859,55160.1233301141,36,8686,21285,70389,397178
Passes,2765,,,,15.8028933092224,11.3827880712095,0,7,13,22,70
Successful_passes,2765,,,,13.3544303797468,10.5314747440726,0,5,11,18,68
Unsuccessful_passes,2765,,,,2.44846292947559,2.008115406197,0,1,2,4,13
Crosses,2765,,,,0.655334538878843,1.13721004089704,0,0,0,1,9
Successful_crosses,2765,,,,0.213019891500904,0.529700815230903,0,0,0,0,4
Unsuccessful_crosses,2765,,,,0.213019891500904,0.529700815230903,0,0,0,0,4
Long_passes,2765,,,,1.07088607594937,1.51453478133592,0,0,1,2,13
Long_passes_won,2765,,,,0.620976491862568,1.04783964984705,0,0,0,1,9
Long_passes_lost,2765,,,,0.449909584086799,0.814643582759076,0,0,0,1,7
Aerial,2765,,,,1.70090415913201,2.08794068111249,0,0,1,2,15
Aerial_won,2765,,,,0.937793851717902,1.39946502887314,0,0,0,1,13
Aerial_lost,2765,,,,0.763110307414105,1.13805335157282,0,0,0,1,9
Ground_duels,2765,,,,5.93056057866184,4.37061409809487,0,3,5,9,24
Ground_duels_won,2765,,,,2.21952983725136,2.16117442317953,0,1,2,3,15
Ground_duels_lost,2765,,,,2.15985533453888,2.03526648750402,0,1,2,3,13
Free_kicks,2765,,,,1.40253164556962,2.10032234092165,0,0,1,2,13
Fouls,2765,,,,0.075587703435805,0.26710795688301,0,0,0,0,2
Fouls_conceded,2765,,,,0.075587703435805,0.26710795688301,0,0,0,0,2
Corners,2765,,,,0.192405063291139,0.699814040403998,0,0,0,0,8
Corners_successful,2765,,,,0.120433996383364,0.498512795169818,0,0,0,0,5
Corners_unsuccessful,2765,,,,0.071971066907776,0.325406212624577,0,0,0,0,3
Interceptions,2765,,,,1.65280289330922,1.75102727524737,0,0,1,3,11
Saves,2765,,,,0.12875226039783,0.597923382776507,0,0,0,0,7
Clearance_won,2765,,,,0.14249547920434,0.418397804217017,0,0,0,0,4
Clearance_lost,2765,,,,0.467269439421338,0.85790102541998,0,0,0,1,7
Shots,2765,,,,0.433273056057866,0.770038358387012,0,0,0,1,6
Shots_on_target,2765,,,,0.141772151898734,0.409026816344645,0,0,0,0,4
Shots_off_target,2765,,,,0.291500904159132,0.60361018057156,0,0,0,0,5
Goals,2765,,,,0.033634719710669,0.186241649223632,0,0,0,0,2
Goals_from_set_play,2765,,,,0,0,0,0,0,0,0
Goals_from_penalty,2765,,,,0.013019891500904,0.113379994358915,0,0,0,0,1
Own_goals,2765,,,,0.001084990958409,0.032927281559286,0,0,0,0,1
Yellow_card,2765,,,,0,0,0,0,0,0,0
Red_card,2765,,,,0.000361663652803,0.019017456528224,0,0,0,0,1
Total_touches,2765,,,,17.1037974683544,11.697266897348,0,8,15,23,70
PlayerType,2765,7,Defender,927,,,,,,,
