iter	Logloss
0	0.6720794371
1	0.6592656182
2	0.6396633671
3	0.6220485035
4	0.6088480316
5	0.5942224577
6	0.5800178871
7	0.5638207489
8	0.5523203677
9	0.5385043015
10	0.5262037002
11	0.5186981748
12	0.5094443041
13	0.4988706114
14	0.487002795
15	0.4790818764
16	0.4702352614
17	0.4617286061
18	0.455730596
19	0.4479570086
20	0.4413548718
21	0.4356331896
22	0.4286645964
23	0.4201663922
24	0.4142520643
25	0.409299894
26	0.4048816478
27	0.4015770466
28	0.3970746557
29	0.3924063872
30	0.3870120539
31	0.3817344647
32	0.3783474681
33	0.3732479815
34	0.3681951474
35	0.3625035132
36	0.3594300722
37	0.3558880266
38	0.3506869598
39	0.3474763298
40	0.3439739406
41	0.3380719492
42	0.3335859019
43	0.3300547544
44	0.3262041265
45	0.3229118342
46	0.3193701676
47	0.3163721528
48	0.3134912259
49	0.3112475563
50	0.3087679231
51	0.3060373098
52	0.3041916224
53	0.3015099252
54	0.2994851826
55	0.297280997
56	0.2950258919
57	0.2931720362
58	0.2906198898
59	0.2878539632
60	0.2849119222
61	0.2831023032
62	0.2814495283
63	0.2801695459
64	0.2776189235
65	0.2759785873
66	0.2739013546
67	0.2718688072
68	0.269942038
69	0.2673225917
70	0.2649530672
71	0.2637714452
72	0.2615867587
73	0.2597466376
74	0.2577469824
75	0.255985921
76	0.2543871263
77	0.2531984578
78	0.2517242164
79	0.2496753376
80	0.2482567553
81	0.2471097099
82	0.2455648791
83	0.2437032917
84	0.2423025926
85	0.2407535857
86	0.2394034327
87	0.2381790273
88	0.2369602815
89	0.234171068
90	0.2319134315
91	0.2306673301
92	0.2294936412
93	0.2283900064
94	0.2273670803
95	0.2248659963
96	0.2234477213
97	0.2218004008
98	0.2199544088
99	0.2183139864
100	0.2169130548
101	0.2159541618
102	0.2147960491
103	0.2137488303
104	0.2129068603
105	0.2116581272
106	0.2105110693
107	0.2090973921
108	0.2085111728
109	0.207455946
110	0.2065512781
111	0.2052856671
112	0.204043533
113	0.2031137807
114	0.2022568281
115	0.2016811046
116	0.2005874378
117	0.1999687927
118	0.1994553301
119	0.1982160151
120	0.1971433989
121	0.1964778223
122	0.1952622951
123	0.1941902745
124	0.1929659745
125	0.1922342776
126	0.1916765478
127	0.1909295533
128	0.1900506121
129	0.189367944
130	0.18852955
131	0.1875360383
132	0.1866970114
133	0.1861371104
134	0.1854990042
135	0.1846206687
136	0.1838537929
137	0.182866062
138	0.1823194899
139	0.1815631619
140	0.1805102015
141	0.1799709411
142	0.179042812
143	0.1783898888
144	0.1774782485
145	0.1765553802
146	0.1757274337
147	0.1749084522
148	0.1739181993
149	0.1727354669
150	0.1722839071
151	0.1717775847
152	0.1711408084
153	0.1706704216
154	0.1701882478
155	0.1692809135
156	0.168525179
157	0.1677750809
158	0.1673697753
159	0.1668873077
160	0.1662712963
161	0.165502354
162	0.1647460053
163	0.1643135304
164	0.1637368444
165	0.1629874276
166	0.1622534045
167	0.1616744254
168	0.1609606359
169	0.1603316134
170	0.1596953973
171	0.1592393154
172	0.1587229359
173	0.1580833031
174	0.1575354792
175	0.1570067745
176	0.1566659449
177	0.1558369468
178	0.1552843241
179	0.1549280741
180	0.1544950602
181	0.1541131679
182	0.1532473027
183	0.1528276351
184	0.1523774125
185	0.151835934
186	0.1512750218
187	0.1509155494
188	0.1502857213
189	0.1497445525
190	0.1492232032
191	0.1486146285
192	0.1478955896
193	0.1473612054
194	0.1469774948
195	0.1467513928
196	0.1462429875
197	0.1458632582
198	0.1454371222
199	0.1450668052
200	0.1447615621
201	0.1444640079
202	0.1439552336
203	0.143738639
204	0.1429570475
205	0.1425045705
206	0.1420653649
207	0.1412688311
208	0.140956723
209	0.1406557253
210	0.1402119418
211	0.1395516004
212	0.1392172096
213	0.1386295842
214	0.1382811254
215	0.1379028302
216	0.137545726
217	0.1370672181
218	0.1365265792
219	0.1363244832
220	0.1358714316
221	0.1355281565
222	0.1351989573
223	0.1347096105
224	0.1343145298
225	0.1339524242
226	0.1337928226
227	0.1333587716
228	0.1329790257
229	0.1325379045
230	0.1319969755
231	0.1318063624
232	0.1315550783
233	0.1309002527
234	0.130497335
235	0.1301186562
236	0.1298871137
237	0.1295057928
238	0.1291850567
239	0.1289639244
240	0.1286357371
241	0.1281894649
242	0.1277290888
243	0.1273448796
244	0.1272134412
245	0.1267478865
246	0.1265101071
247	0.1263743546
248	0.1259978156
249	0.1257085129
250	0.1253874821
251	0.1251886359
252	0.1250340603
253	0.1246720051
254	0.1243513961
255	0.1239816741
256	0.1237423469
257	0.1234949857
258	0.1232960262
259	0.1229782639
260	0.1227107656
261	0.1224460751
262	0.122122334
263	0.1216888422
264	0.121273606
265	0.1208867931
266	0.120646081
267	0.1203609756
268	0.1201237723
269	0.1198012009
270	0.1195334897
271	0.1191220009
272	0.1187521408
273	0.118478189
274	0.1182503204
275	0.1179203202
276	0.1175466327
277	0.1173464961
278	0.1171504173
279	0.1169395778
280	0.1166431203
281	0.1163935334
282	0.1161018709
283	0.1158201863
284	0.1155076768
285	0.1153436693
286	0.1145981192
287	0.1143547371
288	0.1139425961
289	0.1136198858
290	0.1134648233
291	0.1130962046
292	0.1127335643
293	0.1124657778
294	0.1123529043
295	0.112140128
296	0.1118375315
297	0.1116021675
298	0.1113492328
299	0.111179073
300	0.1108970311
301	0.1107636955
302	0.1105926015
303	0.1102295502
304	0.1100327022
305	0.1097127149
306	0.1095446413
307	0.1092787975
308	0.1090355424
309	0.1087906322
310	0.1084723954
311	0.1083014967
312	0.1079652529
313	0.1077586004
314	0.1075063178
315	0.1072493702
316	0.1071503041
317	0.1069072057
318	0.1067602386
319	0.1065313678
320	0.1063956514
321	0.1062547444
322	0.1059995592
323	0.1057976405
324	0.1055903613
325	0.1053344762
326	0.1051595703
327	0.1048647499
328	0.1047456391
329	0.1045343914
330	0.1041927692
331	0.1040737783
332	0.1037673768
333	0.1035563799
334	0.1034733679
335	0.1032624977
336	0.1030963542
337	0.1028151541
338	0.1021161595
339	0.101863961
340	0.1016772023
341	0.1013208044
342	0.1010957971
343	0.1010312193
344	0.1007092962
345	0.1005230029
346	0.1003243438
347	0.100207653
348	0.09997620013
349	0.09981135759
350	0.09963268299
351	0.09914188563
352	0.09876324184
353	0.09861286342
354	0.09836093466
355	0.09817164515
356	0.097965649
357	0.09765502004
358	0.09740239524
359	0.09717842486
360	0.09701741259
361	0.09670620896
362	0.09656388572
363	0.09642361645
364	0.09626474324
365	0.09615455794
366	0.09595454743
367	0.09577105145
368	0.09567459213
369	0.09544511631
370	0.09522533589
371	0.09504825613
372	0.09474695268
373	0.09455116771
374	0.09434819503
375	0.09425563988
376	0.09392716236
377	0.09382208349
378	0.09358084131
379	0.09339945595
380	0.09315335785
381	0.09301936715
382	0.09278595271
383	0.09269910173
384	0.09256701293
385	0.09233938653
386	0.0919382907
387	0.09167019902
388	0.0915377534
389	0.0914110642
390	0.09119323081
391	0.09098590983
392	0.09075943354
393	0.09062206979
394	0.09038588142
395	0.09029154074
396	0.09005878902
397	0.08980339017
398	0.08965182136
399	0.08946218277
400	0.08929155881
401	0.08919138751
402	0.08883165642
403	0.08849782591
404	0.08836686795
405	0.08809062063
406	0.08788186525
407	0.08773074473
408	0.08761438898
409	0.08733892736
410	0.08723013141
411	0.08690734306
412	0.08671387322
413	0.08664319159
414	0.0865199857
415	0.08640322292
416	0.08616282023
417	0.08605533494
418	0.08596224379
419	0.08581503367
420	0.08560905048
421	0.08546286601
422	0.08533962295
423	0.0851588774
424	0.08508945477
425	0.08491219791
426	0.08474632057
427	0.08459074472
428	0.08441510987
429	0.08422814736
430	0.08405201134
431	0.08383168631
432	0.08370335096
433	0.083556372
434	0.08343550615
435	0.08324937156
436	0.08310524249
437	0.08295457363
438	0.08282170855
439	0.08259630581
440	0.08243877296
441	0.08236125222
442	0.08221934328
443	0.08204875834
444	0.081910828
445	0.08171396229
446	0.08149126198
447	0.08126851836
448	0.08114581978
449	0.08104884175
450	0.08091741921
451	0.08084045864
452	0.08064043782
453	0.08045333431
454	0.0803443915
455	0.08028091609
456	0.08008744657
457	0.07996169762
458	0.07981941263
459	0.07949348656
460	0.07928118825
461	0.07917031551
462	0.07903414754
463	0.0788847122
464	0.07870894293
465	0.07859800204
466	0.07850407545
467	0.07840033626
468	0.07823935837
469	0.07801700925
470	0.07788988594
471	0.07776526332
472	0.07758811992
473	0.07744633478
474	0.07723472711
475	0.07705232422
476	0.07686996573
477	0.076679054
478	0.07652608015
479	0.07639200426
480	0.07625601737
481	0.07611438212
482	0.07599808411
483	0.07572716866
484	0.07563642247
485	0.07551748391
486	0.07534892599
487	0.07517846828
488	0.07506044211
489	0.07489517726
490	0.07479100019
491	0.07463361751
492	0.07452391137
493	0.07438004668
494	0.07411206573
495	0.07404029529
496	0.07387968571
497	0.07375355531
498	0.0735895853
499	0.0735092545
500	0.07335122873
501	0.07322366625
502	0.07309368651
503	0.07295673772
504	0.07277842707
505	0.07264433073
506	0.07253471936
507	0.0723803935
508	0.07222797044
509	0.07209404592
510	0.07193705595
511	0.07176716824
512	0.07156161668
513	0.0714676368
514	0.07128544366
515	0.07114392986
516	0.07101451357
517	0.07087948654
518	0.07072638767
519	0.07051739089
520	0.07041830463
521	0.0703184211
522	0.07019302706
523	0.0700945756
524	0.07002163682
525	0.06990173138
526	0.06979683243
527	0.06968100351
528	0.06955836339
529	0.06947715273
530	0.06937964818
531	0.06926891308
532	0.06911449087
533	0.06902417259
534	0.06895610928
535	0.06888042165
536	0.06881091338
537	0.06871829717
538	0.06864514959
539	0.06848166549
540	0.06837079386
541	0.06828710519
542	0.06817340679
543	0.06802520844
544	0.06788441096
545	0.06773799788
546	0.0675940254
547	0.06744738916
548	0.06728981512
549	0.06717535145
550	0.06706722897
551	0.06687865615
552	0.06660975938
553	0.06636043208
554	0.06617152732
555	0.06605244639
556	0.06597213186
557	0.06592260761
558	0.06578448593
559	0.06558257569
560	0.06547791488
561	0.06539370199
562	0.06522369851
563	0.06498869714
564	0.06491714379
565	0.06483009358
566	0.06466895827
567	0.06453677929
568	0.06441093339
569	0.06430530278
570	0.06421714746
571	0.06413959079
572	0.06403144868
573	0.06399773088
574	0.06381166057
575	0.06370356054
576	0.06357115464
577	0.06340353558
578	0.06325591321
579	0.06318058359
580	0.0630673603
581	0.06295155746
582	0.06284166096
583	0.06275086454
584	0.06269986623
585	0.06263412732
586	0.06251613491
587	0.06239657887
588	0.06230232761
589	0.06219450225
590	0.06203550658
591	0.06196456019
592	0.06189440005
593	0.06173372514
594	0.06160749673
595	0.0615203075
596	0.06142919486
597	0.06131637498
598	0.06125662042
599	0.06117217522
600	0.06106679587
601	0.06092833673
602	0.06081715299
603	0.06073451291
604	0.06061657225
605	0.06052960719
606	0.06040518923
607	0.06026621873
608	0.06014583799
609	0.0600191078
610	0.05986699948
611	0.0596877311
612	0.05961443698
613	0.05948119971
614	0.05924595306
615	0.05916249099
616	0.05906742748
617	0.05895410683
618	0.05885830855
619	0.05877436959
620	0.05867137784
621	0.05860454214
622	0.05848975452
623	0.05843031479
624	0.05826937915
625	0.05818871325
626	0.05809980367
627	0.05801362658
628	0.05786426362
629	0.0577879758
630	0.05757615305
631	0.05749218554
632	0.05731225549
633	0.05716792575
634	0.05702812656
635	0.05690089316
636	0.05680221968
637	0.05670460109
638	0.05656522154
639	0.05647561597
640	0.05639467979
641	0.05633881282
642	0.05624053918
643	0.05611776174
644	0.05601152405
645	0.05584487987
646	0.05575348997
647	0.05560688038
648	0.05548243499
649	0.05542633553
650	0.0553866912
651	0.05526671216
652	0.05515354073
653	0.05503027799
654	0.05493836607
655	0.05489003417
656	0.05484295455
657	0.05479160735
658	0.05471307465
659	0.05460647086
660	0.05444140526
661	0.05433840232
662	0.05420178318
663	0.05403863684
664	0.05399225697
665	0.05384772804
666	0.05373040898
667	0.05366449434
668	0.05358862729
669	0.05347725952
670	0.05343232303
671	0.05332956665
672	0.05323093737
673	0.05313904027
674	0.05303197993
675	0.05296946751
676	0.05289406807
677	0.05280831
678	0.05269888342
679	0.05260471826
680	0.05252515458
681	0.0524339291
682	0.05233463709
683	0.05226739869
684	0.0521488393
685	0.05207563991
686	0.05198886431
687	0.05190774656
688	0.05182061534
689	0.05170890128
690	0.05159853912
691	0.05152776944
692	0.0514502111
693	0.05136995458
694	0.05130058056
695	0.05126031498
696	0.05117541378
697	0.05109248515
698	0.05103837439
699	0.05094522355
700	0.05088734775
701	0.05081081687
702	0.05072152665
703	0.05065096197
704	0.05060072952
705	0.05050522574
706	0.05044040269
707	0.05037677458
708	0.05027367563
709	0.0502091708
710	0.05008037164
711	0.05000609501
712	0.04993770448
713	0.04986606459
714	0.04979435294
715	0.04968232399
716	0.04956380849
717	0.04951141698
