iter	Passed	Remaining
0	4	4689
1	7	3812
2	10	3467
3	14	3577
4	19	3805
5	25	4247
6	28	4051
7	30	3842
8	39	4361
9	44	4445
10	50	4519
11	54	4506
12	59	4547
13	68	4789
14	74	4909
15	78	4812
16	85	4916
17	90	4958
18	93	4840
19	96	4742
20	100	4674
21	106	4750
22	111	4741
23	116	4752
24	122	4765
25	126	4743
26	132	4789
27	135	4689
28	138	4649
29	143	4645
30	150	4704
31	156	4724
32	161	4743
33	167	4754
34	174	4798
35	179	4801
36	184	4798
37	188	4766
38	192	4751
39	198	4752
40	202	4734
41	206	4704
42	210	4687
43	216	4695
44	225	4778
45	234	4865
46	239	4859
47	245	4866
48	249	4850
49	255	4856
50	260	4854
51	265	4847
52	272	4873
53	279	4896
54	284	4884
55	287	4850
56	290	4807
57	295	4794
58	303	4832
59	310	4862
60	314	4843
61	319	4830
62	328	4890
63	334	4894
64	339	4885
65	344	4876
66	349	4871
67	353	4849
68	357	4819
69	360	4792
70	362	4745
71	369	4765
72	373	4745
73	378	4734
74	383	4728
75	387	4707
76	391	4698
77	394	4666
78	398	4643
79	403	4642
80	407	4627
81	421	4713
82	430	4755
83	435	4753
84	446	4805
85	452	4805
86	458	4808
87	465	4819
88	470	4812
89	475	4811
90	481	4812
91	486	4806
92	491	4792
93	500	4823
94	504	4802
95	506	4767
96	508	4731
97	510	4697
98	516	4698
99	519	4678
100	523	4660
101	527	4646
102	534	4656
103	538	4638
104	542	4621
105	546	4608
106	551	4600
107	554	4579
108	563	4609
109	567	4592
110	575	4606
111	580	4604
112	585	4594
113	589	4584
114	595	4583
115	599	4568
116	604	4559
117	618	4626
118	626	4637
119	630	4623
120	634	4607
121	640	4606
122	648	4621
123	652	4610
124	658	4611
125	662	4593
126	666	4583
127	672	4578
128	677	4576
129	680	4557
130	685	4544
131	687	4517
132	690	4499
133	695	4495
134	699	4480
135	705	4484
136	711	4480
137	714	4465
138	719	4455
139	723	4447
140	728	4440
141	732	4428
142	738	4423
143	741	4405
144	746	4400
145	750	4388
146	752	4364
147	756	4353
148	762	4355
149	767	4348
150	770	4332
151	773	4314
152	777	4302
153	779	4281
154	781	4260
